,Category,Congress,District,Member,Party,Reason,Resignation Date,Source
0,D,115th,OH-12,Pat Tiberi,R,Took a job with the Ohio Business Roundtable,1/15/2018,New York Times
1,X,115th,MN-SEN,Al Franken,D,Sexual harassment/groping/unwanted kissing,1/2/2018,Minneapolis Star Tribune
2,X,115th,AZ-08,Trent Franks,R,Sexual harassment/surrogacy pressure,12/8/2017,CNN
3,X,115th,MI-13,John Conyers,D,Sexual harassment/inappropriate touching,12/5/2017,Washington Post
4,A,115th,PA-18,Tim Murphy,R,Extramarital affair/abortion hypocrisy,10/21/2017,POLITICO
5,D,115th,UT-03,Jason Chaffetz,R,Took a job with FOX News,6/30/2017,POLITICO
6,C,115th,MT-AL,Ryan Zinke,R,Appointed to Trump administration,3/1/2017,Bozeman Daily Chronicle
7,C,115th,SC-05,Mick Mulvaney,R,Appointed to Trump administration,2/16/2017,Associated Press
8,C,115th,GA-06,Tom Price,R,Appointed to Trump administration,2/10/2017,GeorgiaPol
9,C,115th,AL-SEN,Jeff Sessions,R,Appointed to Trump administration,2/8/2017,Washington Examiner
10,C,115th,CA-34,Xavier Becerra,D,Appointed California attorney general,1/24/2017,Los Angeles Times
11,C,115th,KS-04,Mike Pompeo,R,Appointed to Trump administration,1/23/2017,NBC News
12,C,114th,MI-10,Candice Miller,R,Elected Macomb County public works commish,12/31/2016,Detroit News
13,C,114th,CA-44,Janice Hahn,D,Elected to LA County Board of Supervisors,12/4/2016,Los Angeles Times
14,B,114th,KY-01,Ed Whitfield,R,Ethics investigation,9/6/2016,Kentucky Center for Investigative Reporting
15,B,114th,PA-02,Chaka Fattah,D,Corruption conviction,6/23/2016,POLITICO
16,F,114th,OH-08,John Boehner,R,Sick of fighting the Tea Party,10/31/2015,New York Times
17,B,114th,IL-18,Aaron Schock,R,Personal spending of government funds,3/31/2015,POLITICO
18,B,114th,NY-11,Michael Grimm,R,Tax evasion,1/5/2015,CNN
19,D & F,113th,OK-SEN,Tom Coburn,R,"Self-imposed term limits/""shifting my focus elsewhere""",1/3/2015,The Oklahoman
20,F,113th,VA-07,Eric Cantor,R,Embarrassingly lost primary & majority leadership,8/18/2014,USA Today
21,B & D,113th,NJ-01,Rob Andrews,D,Ethics investigation; took a job as a lobbyist,2/18/2014,Philadelphia Inquirer
22,C,113th,MT-SEN,Max Baucus,D,Appointed to Obama administration,2/6/2014,The Missoulian
23,B,113th,FL-19,Trey Radel,R,Cocaine possession,1/27/2014,USA Today
24,C,113th,NC-12,Mel Watt,D,Appointed to Obama administration,1/6/2014,Camel City Dispatch
25,C,113th,LA-05,Rodney Alexander,R,Appointed Louisiana VA secretary,9/27/2013,Roll Call
26,D,113th,AL-01,Jo Bonner,R,Took a job with University of Alabama,8/2/2013,Roll Call
27,C,113th,MA-05,Ed Markey,D,Elected U.S. senator,7/15/2013,Boston Globe
28,C,113th,MA-SEN,John Kerry,D,Appointed to Obama administration,2/1/2013,Boston Globe
29,D,113th,MO-08,Jo Ann Emerson,R,Took a job with National Rural Electric Cooperative Association,1/22/2013,Washington Post
30,C,112th,SC-01,Tim Scott,R,Appointed U.S. senator,1/2/2013,U.S. House of Representatives
31,D,112th,SC-SEN,Jim DeMint,R,Took a job with the Heritage Foundation,1/1/2013,Washington Post
32,C,112th,CA-51,Bob Filner,D,Elected San Diego mayor,12/3/2012,USA Today
33,B & E,112th,IL-02,Jesse Jackson Jr.,D,Bipolar disorder; under criminal investigation,11/21/2012,New York Times
34,D & E,112th,CA-18,Dennis Cardoza,D,"""Parenting challenges""; took a job with a law firm",8/15/2012,POLITICO
