,Date,IncidentNumber,Location,LocationX,LocationY,MonikerClass,PropertyType
0,2016-08-05T21:04:47.000Z,8/5/2016-PC-2901,Light Pole,-111.9594777985,33.3927363189,General,City
1,2016-12-14T13:35:17.000Z,12/14/2016-PC-4462,Bridges,-111.9425435868,33.4350147443,Maintenance,City
2,2016-10-11T18:03:06.000Z,10/11/2016-PC-3717,Pilot,-111.909256473,33.4010633849,Maintenance,Residential
3,2016-04-27T19:44:19.000Z,4/27/2016-PC-1956,ROW,-111.9089750709,33.4160423681,General,Utilities
4,2017-05-31T13:24:01.000Z,5/31/2017-EC-7134,ROW,-111.9433949589,33.430293019699995,General,Utilities
5,2017-12-08T17:07:45.000Z,12/8/2017-EC-9780,Rail Road Alleys,-111.8982445925,33.4111861608,General,Commercial
6,2017-10-09T16:11:55.000Z,10/9/2017-EC-9178,Alley Walls,-111.9464002555,33.417277525799996,General,Residential
7,2015-11-24T19:36:09.000Z,11/24/2015-PC-0455,Traffic Mast,-111.9016636218,33.4146157662,,
8,2017-01-19T21:08:20.000Z,1/19/2017-PC-5076, ,-111.8921047523,33.417091844699996, , 
9,2016-02-22T20:33:41.000Z,2/22/2016-EC-1286,Parks,-111.9307439966,33.4338286623,General,City
10,2017-04-26T14:40:30.000Z,4/26/2017-EC-6494, ,-111.9307174467,33.4338746919, , 
11,2017-09-19T20:18:17.000Z,9/19/2017-PC-8983,Bus Stop,-111.92645166950001,33.415152551599995,General,City
12,2017-06-06T19:26:16.000Z,6/6/2017-PC-7225, ,-111.92373989139999,33.3945947681, , 
13,2017-07-12T18:02:53.000Z,7/12/2017-PC-7736,ROW,-111.8857851282,33.4146520893,Explicit,Utilities
14,2016-06-22T12:11:18.000Z,6/22/2016-PC-2524,Pilot,-111.8831588092,33.4222094117,Maintenance,City
15,2017-01-13T13:23:47.000Z,1/13/2017-PC-4998,Signs,-111.94339116440001,33.4378456313,General,City
16,2016-03-10T19:28:58.000Z,3/10/2016-PC-1508,Multiuse Path,-111.8980859727,33.435609019699996,General,FC
17,2015-11-24T17:11:13.000Z,11/24/2015-PC-0369,Light Pole,-111.9007013793,33.4146661399,,
18,2017-02-01T17:28:55.000Z,2/1/2017-PC-5346,Parks,-111.9482590766,33.4099190669,Explicit,City
19,2017-02-21T21:58:48.000Z,2/21/2017-EC-5712,Sidewalks,-111.94289807930001,33.4358134352,General,City
20,2017-04-13T21:11:10.000Z,4/13/2017-PC-6289,Sidewalks,-111.9126406093,33.4218653481,General,City
