,Performance,Student ID
0,Outstanding,15cef9dc4d469130
1,Excellent,5133525416945713
2,Outstanding,4767a03fb5e0e9fe
3,Perfect,57be4a69b997fadb
4,Unsatisfactory,4efc35d2a618052b
5,Below Average,21f75b8df36be8e5
6,Good,ab1f207c921984be
7,Terrible,0fcd9637e2d407d6
8,Horrible,34e06638f6e26578
9,Excellent,c4b2c5f79cc94eb6
10,Outstanding,12aa279be09eed11
11,Terrible,0cdd82a8ea5337d2
12,Horrible,241e08defe6d3f55
13,Abysmal Failure,420b74e7a19e523d
14,Terrible,9c8e369c3be936bd
15,Outstanding,0f651f4f85fa0b99
16,Above Average,7fc872421d394e34
17,Great,5bcac3cdb43f8aa8
18,Terrible,87f0ac53da02a1c0
19,Abysmal Failure,a89d40c439671af3
20,Terrible,47db21b9a43818fd
21,Below Average,bee7b554a521f8f6
22,Excellent,50189332f48728c1
23,Great,6dfe9cc3a0daafba
24,Outstanding,d3e82f41f9a85143
25,Great,d0e23650ae28e96b
26,Outstanding,0382b7979fba5b01
27,Perfect,540f4bb7969a5ac0
28,Perfect,0af25d06b156483a
29,Above Average,0f5042495ca3b7b1
30,Abysmal Failure,710e51d04b686c4f
31,Abysmal Failure,bc6ca4a6e53690b9
32,Perfect,a4df65122ef925ac
33,Failure,e844db19080b7449
34,Above Average,e44610eaa2541a6c
35,Failure,d39f7c9aa143b3fa
36,Unsatisfactory,45d12bfa9ff35537
37,Terrible,ffac8045b4a0b1fc
38,Excellent,3c5f056bd21b6f02
39,Bad,d426ebdcf324c3ac
40,Outstanding,3c814c809759ed1d
41,Terrible,1cf70d28f1b6d3c0
42,Below Average,82457cdc4883912c
43,Terrible,c02d26939ac0facf
44,Great,e54d79e584fbfd52
45,Horrible,abf178438652effa
46,Excellent,88a180c737b0e40e
47,Outstanding,e233ceb7c27fca98
48,Bad,fc114df8bc0db96c
49,Below Average,4729dc334ecc53ed
50,Abysmal Failure,e64a76add1455300
51,Below Average,89079b0397d836ac
52,Unsatisfactory,9da3e0c0fb9593fa
53,Failure,cb9ac1461b9ceafd
54,Outstanding,efd23734b253099e
55,Unsatisfactory,ea8967522454a275
56,Good,75a582dc350e15c3
57,Bad,8ce7584c9958654a
58,Bad,9b44fe84e41c5fe3
59,Unsatisfactory,39a8538c7dac4181
60,Abysmal Failure,bfffd6457782aada
61,Abysmal Failure,4ad4196fc3ebc54c
62,Outstanding,797628e4598c3d08
63,Unsatisfactory,3b516bb59275abb7
64,Bad,8c736226f08619e2
65,Great,101831126fe64e9b
66,Great,6953a71dcc2457bd
67,Average,275a7f798101333d
68,Perfect,de5cea2747fd7eaf
69,Outstanding,42bc789e46072bcb
70,Perfect,515eb809cff5b30d
71,Failure,009bddabec21eb9c
72,Unsatisfactory,1b6a6cb9bb220372
73,Good,63ace08cfa5b7f51
74,Perfect,c7200a4ac89c103f
75,Excellent,c434c53e6ff86d85
76,Unsatisfactory,3f1fcc502c66254e
77,Above Average,de3c542e4359fdad
78,Failure,a65822b3e06a31e3
79,Above Average,057f55f4dfd35f68
80,Terrible,3a18ff3c548e4455
81,Good,4c9e17d96ee45d1c
82,Abysmal Failure,9ce86772bb653b32
83,Below Average,126f349fd4b9d8ad
84,Terrible,8bbdcf99f309fed4
85,Abysmal Failure,975ec7230437f05f
86,Good,ad1c0a0d05423bc0
87,Terrible,fa803a40d77c0f14
88,Perfect,fc48be5c236cde94
89,Abysmal Failure,ee4554ffc1f940e3
90,Unsatisfactory,8dbf762d20231f70
91,Outstanding,c84fc0d4c3b46a3a
92,Abysmal Failure,956fecd292d0439c
93,Above Average,02f4e594f9a89a78
94,Below Average,e7eac804d5bd753b
95,Great,8c86da2fba42c416
96,Good,4b7fc0cace8f7a80
97,Great,aa979c9b3162b9fe
98,Abysmal Failure,4730f88044ac44e5
99,Average,8af018cdcf1ad8cf
100,Unsatisfactory,49e795b50b5212ac
101,Failure,7717baf9486fe8b9
